image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000002.jpg,0.011205656453967094,0.0004868068208452314,0.0005758697516284883,8.913318742997944e-05,0.004731071647256613,7.108295540092513e-05,0.0009418947156518698,0.002328988630324602,0.0069688353687524796,1.9141727534588426e-05,0.0005262730992399156,0.0004630010516848415,3.633085361798294e-05,0.00020437416969798505,0.002158587332814932,0.010780391283333302,0.00017089005268644542,0.000454385211924091,6.556485459441319e-05,0.9932819604873657
../data/VOCdevkit/VOC2012\JPEGImages\2008_000003.jpg,0.003066586097702384,2.5454382921452634e-05,0.003115334315225482,0.022235829383134842,3.623767042881809e-05,0.001341531751677394,0.00027973210671916604,0.0033631694968789816,0.007728758733719587,2.989251015605987e-06,0.0004934151656925678,0.0010500566568225622,0.00011546394671313465,3.39352227456402e-05,0.0022113423328846693,0.0011119833216071129,2.4151802790584043e-05,0.0003499800222925842,0.32319197058677673,0.0009671891457401216
../data/VOCdevkit/VOC2012\JPEGImages\2008_000007.jpg,0.010294212028384209,3.236264456063509e-05,0.00032345560612156987,0.9926244616508484,0.05590271204710007,2.9212666049716063e-05,0.00044905851245857775,0.00011947489838348702,7.51745465095155e-05,1.5851706848479807e-05,0.00016888593381736428,9.2741334810853e-05,0.00045670801773667336,3.1864754419075325e-05,0.0008293018327094615,0.00015346652071457356,2.673241942829918e-05,0.00010437911987537518,0.0009258532081730664,0.00013047934044152498
../data/VOCdevkit/VOC2012\JPEGImages\2008_000009.jpg,0.0006202340009622276,0.00012335610517766327,0.0004463192308321595,0.0004866738454438746,0.0003017318667843938,0.0006868328782729805,0.008158320561051369,0.0010973017197102308,3.9593258406966925e-05,0.7821690440177917,7.249389454955235e-05,0.045422837138175964,0.0016768218483775854,0.0004235224041622132,0.0013354351976886392,0.00023674560361541808,0.7847154140472412,8.566833275835961e-05,3.372516221133992e-05,1.9525328752934e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000016.jpg,0.0001535713381599635,0.003035915084183216,0.00014810950960963964,3.324931094539352e-05,0.001391335390508175,0.0001002239587251097,0.0013602722901850939,0.0004347612557467073,0.017281290143728256,4.5624879021488596e-06,0.0002768483536783606,0.000143536482937634,4.898741735814838e-06,2.7820069590234198e-05,0.0012356366496533155,0.00136910704895854,2.6605708626448177e-05,0.00046744986320845783,3.723209010786377e-05,0.9999681711196899
../data/VOCdevkit/VOC2012\JPEGImages\2008_000021.jpg,0.9999624490737915,0.00040887892828322947,9.666637924965471e-05,4.934155003866181e-05,0.0012788597960025072,0.00024546985514461994,0.0016252046916633844,2.630829476402141e-05,0.00037072147824801505,8.647160575492308e-05,0.00042243534699082375,0.0002989572240039706,0.002384917577728629,0.0028117250185459852,0.2682604491710663,0.0003302962868474424,0.0002826911804731935,5.870759196113795e-05,3.1159182981355116e-05,0.0010051452554762363
../data/VOCdevkit/VOC2012\JPEGImages\2008_000026.jpg,1.3515121963791898e-06,0.0009531661635264754,0.0167837031185627,7.13045519660227e-05,0.006675988435745239,7.621708209626377e-05,0.00020638093701563776,0.01710255816578865,0.03067348338663578,0.0019075303571298718,0.0037912647239863873,0.3726455271244049,0.0014079215470701456,2.3806187527952716e-05,0.999936580657959,0.002835673512890935,0.058691684156656265,7.69199978094548e-05,0.00014198626740835607,0.0007677118410356343
../data/VOCdevkit/VOC2012\JPEGImages\2008_000027.jpg,0.00015011023788247257,0.0057396842166781425,9.953744302038103e-05,0.0010718896519392729,0.00011927181913051754,9.67214145930484e-05,0.9999707937240601,0.001984671223908663,0.0006008023046888411,0.00012899949797429144,0.0013647966552525759,0.0012518728617578745,5.272120688459836e-05,0.0042036487720906734,0.22267010807991028,0.0008505567093379796,3.165866655763239e-05,3.700918023241684e-05,5.6592838518554345e-05,3.3111478842329234e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000032.jpg,5.236380820861086e-05,0.00996436458081007,0.0008440361707471311,0.0006301704561337829,0.0008811819716356695,0.9986222982406616,0.060433123260736465,0.0014127888716757298,0.006671202834695578,0.00046375111560337245,0.0049034906551241875,2.0419985958142206e-05,0.00035005310201086104,0.001478145713917911,0.44724443554878235,0.013381916098296642,0.0009082762990146875,0.00022028876992408186,0.0004570285091176629,0.0002965414896607399
../data/VOCdevkit/VOC2012\JPEGImages\2008_000034.jpg,1.851521483331453e-05,0.00016076379688456655,0.00018936516426037997,7.900706987129524e-05,0.38424816727638245,3.2960255339276046e-05,0.0004945765831507742,0.0010431967675685883,0.009961655363440514,0.0003290275053586811,0.027271542698144913,0.0006518249283544719,0.00023051838797982782,0.00029213278321549296,0.9997515082359314,0.006056253332644701,0.00043432379607111216,0.00444481847807765,5.0144921260653064e-05,0.0024754968471825123
