image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000002.jpg,['tvmonitor'],0.009082023985683918,0.0008887863950803877,0.0019230199977755547,8.429445006186143e-05,0.003072105348110199,0.00038004590896889573,0.004918331280350685,0.0010758450953289866,0.0013252374483272431,0.00016345300537068397,0.0009216188336722553,0.0002992834488395601,0.0002079982805298641,0.0002321202191524208,0.006897854618728161,0.0030205270741134878,0.00025800446746870875,0.0005226979264989495,0.00025297855609096587,0.8478995561599731
../data/VOCdevkit/VOC2012\JPEGImages\2008_000003.jpg,"['person', 'train']",0.000334905373165384,0.00014674957492388785,0.003359953407198191,0.0012786483857780695,2.51310793828452e-05,0.006552990060299635,0.0003338352835271508,0.0001962204405572265,0.0001928640122059733,5.329026680556126e-05,3.232844028389081e-05,0.0006977630546316503,8.776422328082846e-05,1.5050103684188796e-05,0.006885058246552944,0.0010149813024327161,8.168498607119545e-05,0.001636753440834582,0.5480014681816101,0.0010180081008002162
../data/VOCdevkit/VOC2012\JPEGImages\2008_000007.jpg,['boat'],0.02068270742893219,1.1572117728064768e-05,0.0012488687643781304,0.904953122138977,0.0007224683067761363,3.4408712963340804e-05,0.00013101293006911874,3.577672396204434e-05,9.833084732235877e-06,2.953151306428481e-05,0.00023454536858480424,0.00014524135622195902,7.381287286989391e-05,2.782142473733984e-05,0.001617806265130639,6.352491618599743e-05,5.4296611779136576e-05,0.00022593986068386582,0.0018941242014989255,0.00012225209502503276
../data/VOCdevkit/VOC2012\JPEGImages\2008_000009.jpg,['cow'],0.0018240120261907573,0.003512933384627104,0.0002777299960143864,0.0027400818653404713,0.0018072021193802359,0.0018545893253758552,0.015760332345962524,8.791442087385803e-05,0.0001010373089229688,0.7046539783477783,0.00018259506032336503,0.002005445305258036,0.006513020023703575,0.003589385887607932,0.0029325583018362518,0.0019773931708186865,0.3817070126533508,0.00044370503746904433,0.00033335949410684407,4.0259208617499105e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000016.jpg,['tvmonitor'],8.781772339716554e-05,0.0013838025042787194,0.003167330753058195,1.2843523109040687e-05,0.0007215555524453522,0.0005126851028762758,0.0009474375983700156,4.133319089305587e-05,0.0035526254214346405,8.151150723278986e-06,3.90815366699826e-05,0.0005653166444972157,1.5683162928326055e-05,3.1656705687055364e-05,0.0014418199425563214,0.0005008094594813883,1.6337116903741847e-05,7.481846841983497e-05,9.88948522717692e-05,0.9997931122779846
../data/VOCdevkit/VOC2012\JPEGImages\2008_000021.jpg,['aeroplane'],0.99999737739563,4.850371260545217e-05,9.864700587058907e-06,4.504726166487672e-05,0.0001170496252598241,0.00014927581651136282,0.0008357879705727099,1.4686030226584991e-05,4.2496645619394264e-05,4.296722909202799e-05,0.00018165678193327042,0.000191069339052774,0.0008288286626338959,0.000564533460419625,0.052732419222593314,0.0001084171890397556,0.0003494502743706107,4.939352584187873e-05,4.2603278416208916e-05,9.489888179814444e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000026.jpg,"['dog', 'person']",2.2290820197667927e-05,0.002441060030832887,0.0007686353055760263,0.0003547551459632814,0.14992894232273102,0.000398319389205426,0.00019537548359949142,0.003169434377923608,0.04313931986689568,0.0015099927550181744,0.03581556305289268,0.08781087398529053,0.0007278096745721996,8.701580372871831e-05,0.9998180270195008,0.0018028831109404566,0.005131033714860678,7.921671203803271e-05,0.00024374127679038793,0.000134162517497316
../data/VOCdevkit/VOC2012\JPEGImages\2008_000027.jpg,['car'],0.0018283171812072398,0.002996486146003008,0.00020759925246238708,0.0001511095033492893,0.00024499522987753153,0.00022320664720609784,0.99998140335083,0.00016572559252381322,0.00020233153190929443,0.0001329791557509452,0.0006462460733018817,0.0007248499314300716,5.513162977877073e-05,0.0011347968829795716,0.3173786699771881,0.0004395859723445028,5.6043478252831846e-05,0.00032604418811388314,0.0004440354823600501,7.164049748098478e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000032.jpg,"['bus', 'person']",0.00021362850384321064,0.006859962362796068,0.00037478955346159637,0.0005300500779412687,0.0003062028263229877,0.9927733540534972,0.0040392535738646975,8.319941844092682e-05,0.0002988671767525375,0.00022508173424284902,0.001090349513106048,3.67854704563797e-06,0.00014118984108790758,0.00020620647410396487,0.18934786319732666,0.002827444346621633,0.00015971763059496882,4.423097198014148e-05,0.0030584086198359732,4.171862019575201e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000034.jpg,"['bottle', 'person']",4.507166522671469e-05,0.0004193837230559439,3.0620791221736e-05,6.271158054005355e-05,0.4591507613658905,6.111494440119715e-05,0.0005688320379704237,0.0004066320252604783,0.015222474001348019,0.00026957038789987564,0.007667620200663805,0.0011519952677190304,0.0001183690401376225,0.00028770891367457807,0.9999438524246216,0.001382711692713201,0.0001875202724477276,0.0020110539626330137,0.00010331233352189884,0.0013019267935305836
../data/VOCdevkit/VOC2012\JPEGImages\2008_000042.jpg,['car'],0.00029619960696436465,0.02213133685290813,0.0029941154643893238,0.01084315963089466,0.00028854512493126094,0.008826026692986488,0.12164954096078873,0.00019942218204960227,0.00028094154549762607,0.0009353274363093078,4.9089663662016385e-05,0.00043419300345703965,0.00011562932195374741,0.00046624388778582215,0.0011058662785217166,0.010780676268041134,0.00026451158919371665,0.0004117248172406107,0.007916203700006008,7.994188490556553e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000043.jpg,"['chair', 'diningtable']",3.7166959373280406e-05,0.0005179266445338726,5.496092126122676e-05,0.0001048606718541123,0.012612549588084221,3.5346804452274223e-06,1.214426174556138e-05,3.693116013891995e-05,1.0,6.993772785790497e-06,0.999942183494568,7.868301327107474e-05,0.00013890898844692856,3.808702558671939e-06,0.0003356068045832217,0.0027694506570696826,2.9244947654660787e-06,0.0008091127383522688,1.1979506780335216e-05,0.0006298027001321317
../data/VOCdevkit/VOC2012\JPEGImages\2008_000050.jpg,['car'],0.0020149252377450466,0.007908813655376434,9.234096796717496e-05,0.00044908528798259806,0.0006655916222371161,0.007984950207173823,0.9999502897262572,0.0005121209542267026,0.00013566017150878906,0.00019589310977607963,6.146774103399366e-05,4.931464354740456e-05,0.00010960124200209975,0.003999740350991488,0.015422755852341654,5.5623491789447144e-05,0.0005388685967773199,0.00011057099618483335,0.001399958971887827,0.0005403931136243045
../data/VOCdevkit/VOC2012\JPEGImages\2008_000051.jpg,"['bottle', 'chair', 'person']",2.6082143449457362e-05,0.000520763685926795,0.0002480337570887059,0.00010425577056594192,0.9859025478363036,2.7597734515438788e-05,2.7567826691665693e-05,0.00015416611859109253,0.6299441456794739,0.00012413074728101492,0.08129824697971344,0.0006660300423391162,6.44149913568981e-05,0.00021201407071202996,0.9299098253250122,0.003056273330003023,3.920329982065596e-05,0.0008157612173818053,1.7455451597925276e-05,0.004974751267582178
../data/VOCdevkit/VOC2012\JPEGImages\2008_000052.jpg,"['car', 'person']",0.0011654415866360068,0.002033327473327517,0.0007557746139355004,0.005434389226138592,9.222560038324444e-05,0.0010670439805835485,0.9545825719833374,4.259487468516454e-05,0.00012519393931142986,0.00026892015011981135,0.0001060486538335681,0.0020821255166083574,0.0007690855418331921,0.003700290573760867,0.8837495446205139,0.00021206965902820232,0.00034478251473046834,0.0002806593547575176,0.002109504071995616,0.0001439593470422551
../data/VOCdevkit/VOC2012\JPEGImages\2008_000054.jpg,['bird'],0.0040566702373325825,0.0002266054216306657,0.9990436434745787,0.0003805496671702713,0.004226336721330881,9.307640721090138e-05,0.0005495627410709858,9.000003046821801e-06,9.999447502195836e-05,1.5297400750569068e-05,0.0006404726300388576,5.515934753930197e-05,4.728538988274522e-05,0.00010374384874012321,0.00019008571689482776,7.147515134420247e-06,0.0011958469403907655,0.00017352064605802298,8.13127335277386e-05,0.00010731118527473882
../data/VOCdevkit/VOC2012\JPEGImages\2008_000056.jpg,['cat'],0.00011124223237857224,1.1206707313249353e-05,3.163455403409898e-05,0.00029014397296123207,0.00017973488138522953,5.7213939726352685e-05,0.000234071776503697,0.9999918937683104,1.2768025953846518e-05,2.2841215468361042e-05,3.0139173759380352e-05,5.9113932366017245e-05,2.550334465922788e-05,7.068435661494732e-05,9.041728480951859e-05,5.260489706415683e-05,5.925369805481751e-06,2.2253672796068716e-05,1.5295750927180055e-05,6.515243876492605e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000059.jpg,['dog'],2.2221247490961105e-05,0.0002008085866691545,0.0001022915676003322,0.00010193052003160119,0.0013956970069557428,0.00014053705672267824,0.006668539717793465,7.351565727731213e-05,0.005690537858754397,0.00020319262694101783,5.3736537665827207e-05,0.9995792508125304,3.948100857087411e-05,2.328888513147831e-05,0.0035941761452704672,0.0007017954485490918,1.8592520063975823e-05,0.00065657589584589,0.0002584821195341647,0.0006099222810007633
