image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000002.jpg,0.009082023985683918,0.0008887863950803876,0.0019230199977755547,8.429445006186143e-05,0.003072105348110199,0.0003800459089688957,0.004918331280350685,0.0010758450953289866,0.0013252374483272433,0.00016345300537068397,0.0009216188336722553,0.00029928344883956015,0.00020799828052986413,0.00023212021915242076,0.006897854618728161,0.003020527074113488,0.00025800446746870875,0.0005226979264989495,0.00025297855609096587,0.8478995561599731
../data/VOCdevkit/VOC2012\JPEGImages\2008_000003.jpg,0.00033490537316538393,0.00014674957492388785,0.0033599534071981907,0.0012786483857780695,2.51310793828452e-05,0.006552990060299635,0.00033383528352715075,0.00019622044055722654,0.00019286401220597327,5.329026680556126e-05,3.2328440283890814e-05,0.0006977630546316504,8.776422328082845e-05,1.5050103684188798e-05,0.006885058246552944,0.001014981302432716,8.168498607119545e-05,0.0016367534408345819,0.5480014681816101,0.0010180081008002162
../data/VOCdevkit/VOC2012\JPEGImages\2008_000007.jpg,0.02068270742893219,1.1572117728064768e-05,0.0012488687643781304,0.904953122138977,0.0007224683067761362,3.4408712963340804e-05,0.00013101293006911874,3.577672396204434e-05,9.833084732235875e-06,2.953151306428481e-05,0.00023454536858480424,0.000145241356221959,7.381287286989391e-05,2.782142473733984e-05,0.001617806265130639,6.352491618599743e-05,5.429661177913658e-05,0.00022593986068386585,0.0018941242014989257,0.00012225209502503276
../data/VOCdevkit/VOC2012\JPEGImages\2008_000009.jpg,0.0018240120261907578,0.003512933384627104,0.0002777299960143864,0.0027400818653404713,0.0018072021193802357,0.001854589325375855,0.015760332345962524,8.791442087385803e-05,0.0001010373089229688,0.7046539783477783,0.00018259506032336503,0.0020054453052580357,0.006513020023703575,0.003589385887607932,0.002932558301836252,0.0019773931708186865,0.38170701265335083,0.00044370503746904433,0.00033335949410684407,4.02592086174991e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000016.jpg,8.781772339716554e-05,0.0013838025042787194,0.003167330753058195,1.2843523109040689e-05,0.0007215555524453521,0.0005126851028762758,0.0009474375983700156,4.133319089305587e-05,0.003552625421434641,8.151150723278988e-06,3.90815366699826e-05,0.0005653166444972157,1.5683162928326055e-05,3.1656705687055364e-05,0.0014418199425563216,0.0005008094594813883,1.6337116903741844e-05,7.481846841983497e-05,9.88948522717692e-05,0.9997931122779846
../data/VOCdevkit/VOC2012\JPEGImages\2008_000021.jpg,0.9999973773956299,4.8503712605452165e-05,9.864700587058906e-06,4.5047261664876714e-05,0.0001170496252598241,0.0001492758165113628,0.00083578797057271,1.468603022658499e-05,4.249664561939426e-05,4.296722909202799e-05,0.0001816567819332704,0.000191069339052774,0.0008288286626338959,0.000564533460419625,0.05273241922259331,0.00010841718903975561,0.0003494502743706107,4.939352584187873e-05,4.260327841620892e-05,9.489888179814443e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000026.jpg,2.2290820197667927e-05,0.0024410600308328867,0.0007686353055760264,0.0003547551459632814,0.14992894232273102,0.000398319389205426,0.00019537548359949142,0.003169434377923608,0.043139319866895676,0.0015099927550181746,0.035815563052892685,0.08781087398529053,0.0007278096745721996,8.701580372871831e-05,0.9998180270195007,0.0018028831109404564,0.005131033714860678,7.921671203803271e-05,0.00024374127679038793,0.000134162517497316
../data/VOCdevkit/VOC2012\JPEGImages\2008_000027.jpg,0.0018283171812072396,0.002996486146003008,0.00020759925246238708,0.0001511095033492893,0.00024499522987753153,0.00022320664720609784,0.9999814033508301,0.00016572559252381325,0.00020233153190929443,0.0001329791557509452,0.0006462460733018816,0.0007248499314300716,5.513162977877073e-05,0.0011347968829795718,0.3173786699771881,0.0004395859723445028,5.6043478252831846e-05,0.00032604418811388314,0.0004440354823600501,7.164049748098478e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000032.jpg,0.00021362850384321064,0.006859962362796068,0.00037478955346159637,0.0005300500779412687,0.0003062028263229877,0.9927733540534973,0.004039253573864698,8.319941844092682e-05,0.0002988671767525375,0.00022508173424284905,0.001090349513106048,3.67854704563797e-06,0.00014118984108790755,0.00020620647410396487,0.18934786319732666,0.0028274443466216326,0.0001597176305949688,4.4230971980141476e-05,0.003058408619835973,4.171862019575201e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000034.jpg,4.5071665226714686e-05,0.00041938372305594385,3.0620791221736e-05,6.271158054005355e-05,0.4591507613658905,6.111494440119714e-05,0.0005688320379704237,0.00040663202526047826,0.015222474001348019,0.00026957038789987564,0.007667620200663805,0.0011519952677190304,0.0001183690401376225,0.00028770891367457807,0.9999438524246216,0.001382711692713201,0.00018752027244772762,0.0020110539626330137,0.00010331233352189884,0.0013019267935305834
