image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000002.jpg,0.042908310890197754,0.0024782242253422737,3.40938386216294e-05,0.0006727284053340554,0.028784919530153275,0.0003962602640967816,0.007016584277153015,0.02326793782413006,0.0013105139369145036,6.502159521915019e-05,0.0006938027800060809,0.0003223353996872902,0.0002780280483420938,0.00030860715196467936,0.09794219583272934,0.010521790944039822,9.221179061569273e-05,0.0036132177338004112,8.689085370860994e-05,0.21752765774726868
../data/VOCdevkit/VOC2012\JPEGImages\2008_000003.jpg,0.0004884995287284255,0.0005718136089853942,0.0005523631116375327,0.0033928018528968096,0.00063508894527331,0.001448902185074985,0.0009060894371941686,0.0007787532522343099,0.000214085666812025,0.0002486683370079845,3.411201760172844e-05,0.00209792354144156,0.00041267951019108295,0.0003244875115342438,0.181217223405838,0.002681487938389182,0.0014687769580632448,0.0003205029061064124,0.6568170189857483,0.00026345349033363163
../data/VOCdevkit/VOC2012\JPEGImages\2008_000007.jpg,0.005715543404221535,1.4484056919172872e-05,0.0006689723231829703,0.9435740113258362,0.08742216974496841,0.00019381950551178306,0.0003982288180850446,2.5949388145818375e-05,2.3673521354794502e-05,0.0001264364691451192,0.00036738775088451803,1.5017257283034269e-05,0.0003414800448808819,2.200171547883656e-05,0.07348484545946121,3.053004911635071e-05,1.4625510630139615e-05,0.00019565082038752735,0.00013043131912127137,4.321889718994498e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000009.jpg,0.0005943201831541955,0.007384750060737133,0.0009958322625607252,0.0012880745343863964,0.0006913862889632583,0.0029875163454562426,0.04992837831377983,5.7880315580405295e-05,0.000699568830896169,0.9041803479194641,7.678083056816831e-05,0.0003783483407460153,0.12850596010684967,0.0012382051208987832,0.02754509449005127,0.001039863214828074,0.06770729273557663,8.837889618007466e-05,0.00045258563477545977,1.055499797075754e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000016.jpg,0.0011878132354468107,0.00045005360152572393,8.587240154156461e-05,1.284321569983149e-05,0.005206230562180281,5.8731115132104605e-05,0.005982782691717148,0.0003757789090741426,0.0032523523550480604,2.0668155684688827e-06,8.482527482556179e-05,6.997158197918907e-05,1.3895954907638952e-05,2.0369030607980676e-05,0.002225056756287813,0.002213560277596116,3.3320918646495556e-06,0.0001708157651592046,4.028597686556168e-05,0.9983958601951599
../data/VOCdevkit/VOC2012\JPEGImages\2008_000021.jpg,0.999994158744812,0.00033940220600925386,4.36704394815024e-05,1.2946266906510573e-05,0.00023208236962091178,0.00012300279922783375,0.0002589510113466531,1.2074452570232097e-05,7.894236659922171e-06,0.0004008657415397465,1.9450819308985956e-05,6.19120110059157e-05,0.001062889932654798,0.0008338661282323301,0.18205586075782776,4.0163344237953424e-05,0.00011319518671371043,0.00010328760981792584,0.00010526472760830075,4.042128421133384e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000026.jpg,9.020582183438819e-06,0.0004985152627341449,0.037795472890138626,5.479743049363606e-05,0.08288217335939407,3.625605677370913e-05,0.0004182766133453697,0.009337532334029675,0.02765367366373539,0.04966432973742485,0.0044788517989218235,0.22928379476070404,0.0006845841999165714,4.141683893976733e-05,0.9958325028419495,0.0038687586784362793,0.002286774106323719,4.432936111697927e-05,0.0001874246372608468,0.00012663388042710721
../data/VOCdevkit/VOC2012\JPEGImages\2008_000027.jpg,5.739788684877567e-05,0.0016413225093856454,0.0002367133420193568,0.0013412454864010215,0.00031677287188358605,3.0021965358173475e-05,0.9999470710754395,0.00024793538614176214,7.585736602777615e-05,0.0003021489828824997,0.0003483592299744487,0.0012713734759017825,8.274730498669669e-05,0.007021227851510048,0.5072526931762695,0.001012825290672481,0.0001393813145114109,4.783448821399361e-05,2.511114871595055e-05,8.34656475490192e-06
../data/VOCdevkit/VOC2012\JPEGImages\2008_000032.jpg,0.0010862837079912424,0.0027605544310063124,0.0004802223702427,0.0027478584088385105,0.008639157749712467,0.7725037336349487,0.010684842243790627,0.002268636366352439,0.0028287232853472233,0.00025915552396327257,0.006980120204389095,0.00017687580839265138,0.0007404300849884748,0.0003540506586432457,0.7452217936515808,0.002413701731711626,0.005129712168127298,0.0008965987944975495,0.014193365350365639,0.00043189164716750383
../data/VOCdevkit/VOC2012\JPEGImages\2008_000034.jpg,9.351161861559376e-05,0.0006281458190642297,5.481582775246352e-05,0.00022800460283178836,0.7579506039619446,7.758988067507744e-05,0.0007147819851525128,0.0016997852362692356,0.00920734740793705,9.861206490313634e-05,0.008285931311547756,0.0003388655313756317,7.664038275834173e-05,0.00014921705587767065,0.999919056892395,0.00334304035641253,0.0002903177810367197,0.0028079051990062,7.396817090921104e-05,0.0012855350505560637
../data/VOCdevkit/VOC2012\JPEGImages\2008_000042.jpg,0.0008821591036394238,0.07531426101922989,0.0005996869876980782,0.0030439833644777536,0.0005581790464930236,0.03890862315893173,0.40716254711151123,0.001110282726585865,0.0004603394481819123,0.003519115038216114,0.00011987511970801279,0.0010350961238145828,0.0010309534845873713,0.0032863065134733915,0.09638823568820953,0.003160118591040373,0.0002655028074514121,0.00018526778148952872,0.0025726035237312317,3.692052268888801e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000043.jpg,1.7950174878933467e-05,0.0016946684336289763,0.00010854721040232107,0.00016779139696154743,0.0035353435669094324,2.1637391910189763e-05,5.8823596191359684e-05,1.1775195162044838e-05,1.0,1.0303870112693403e-05,0.9982890486717224,2.118783595506102e-05,0.0010626211296766996,2.381954254815355e-05,0.0001897206821013242,0.04682227596640587,5.496333415067056e-07,0.0016105461400002241,6.0262841543590184e-06,0.0006169747794046998
../data/VOCdevkit/VOC2012\JPEGImages\2008_000050.jpg,0.003618015442043543,0.001709743170067668,1.5003070075181313e-05,0.0013499947963282466,0.0001448838011128828,0.004214835353195667,0.999785840511322,0.00328677031211555,2.3991156922420487e-05,5.995884203002788e-05,9.452909580431879e-06,8.342156434082426e-06,2.0881867385469377e-05,0.0694189965724945,0.039631545543670654,5.070991028333083e-05,0.00035897642374038696,6.764905992895365e-05,0.003124048002064228,0.0001965526316780597
../data/VOCdevkit/VOC2012\JPEGImages\2008_000051.jpg,8.229201193898916e-05,0.00046901742462068796,0.00016183826664928347,0.001030712272040546,0.8835165500640869,0.00028311790083535016,0.0013759826542809606,0.00044318908476270735,0.09589913487434387,0.00010998926154570654,0.04089387506246567,0.0010064321104437113,7.046125392662361e-05,0.0003505634085740894,0.992061972618103,0.0027323763351887465,0.00018769019516184926,0.005397927016019821,8.680794417159632e-05,0.02737181819975376
../data/VOCdevkit/VOC2012\JPEGImages\2008_000052.jpg,0.001311474828980863,0.0010626267176121473,0.00024131839745678008,0.0014114071382209659,0.0001265922182938084,0.006730794906616211,0.9966315627098083,0.0007930260035209358,0.0001358430745312944,0.0003388233599252999,0.00010087470582220703,0.00027180142933502793,0.00047775867278687656,0.010560388676822186,0.8280572891235352,9.942285396391526e-05,0.000914174597710371,6.992243288550526e-05,0.0005182639579288661,2.8502088753157295e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000054.jpg,0.0007836609147489071,0.000727373524568975,0.999760091304779,0.0005452836630865932,0.0020046732388436794,0.00022875038848724216,0.004838594701141119,0.00010623934940667823,0.0004200917901471257,3.52183124050498e-05,0.00014774953888263553,8.67781818669755e-06,7.407207885989919e-05,0.00033581804018467665,0.0003634022723417729,4.23342025897e-05,0.002370764734223485,7.2410715802107e-05,2.9613887818413787e-05,0.00028957470203749835
